# t[days] FUV NUV
0.50000 26.075 24.125 
0.60000 26.277 24.152 
0.70000 26.538 24.238 
0.80000 26.840 24.368 
0.90000 27.169 24.527 
1.00000 27.511 24.704 
1.10000 27.853 24.888 
1.20000 28.187 25.073 
1.30000 28.513 25.257 
1.40000 28.840 25.446 
1.50000 29.172 25.641 
1.60000 29.513 25.846 
1.70000 29.864 26.061 
1.80000 30.225 26.285 
1.90000 30.594 26.517 
2.00000 30.970 26.755 
2.10000 31.352 26.999 
2.20000 31.740 27.248 
2.30000 32.132 27.502 
2.40000 32.527 27.759 
2.50000 32.926 28.019 
2.60000 33.326 28.282 
2.70000 33.727 28.546 
2.80000 34.129 28.811 
2.90000 34.532 29.078 
3.00000 34.935 29.345 
3.10000 35.336 29.612 
3.20000 35.804 29.920 
3.30000 36.325 30.263 
3.40000 36.848 30.608 
3.50000 37.374 30.955 
3.60000 37.901 31.304 
3.70000 38.430 31.655 
3.80000 38.960 32.006 
3.90000 39.491 32.359 
4.00000 40.022 32.712 
4.10000 40.554 33.067 
4.20000 41.086 33.421 
4.30000 41.619 33.777 
4.40000 42.151 34.132 
4.50000 42.683 34.488 
4.60000 43.214 34.843 
4.70000 43.745 35.199 
4.80000 44.272 35.552 
4.90000 44.798 35.905 
5.00000 45.323 36.258 
5.10000 45.848 36.610 
5.20000 46.371 36.962 
5.30000 46.894 37.314 
5.40000 47.417 37.666 
5.50000 47.937 38.016 
5.60000 48.453 38.364 
5.70000 48.969 38.712 
5.80000 49.484 39.059 
5.90000 49.998 39.406 
6.00000 50.511 39.753 
6.10000 51.023 40.099 
6.20000 51.533 40.443 
6.30000 52.039 40.785 
6.40000 52.545 41.127 
6.50000 53.050 41.469 
6.60000 53.553 41.810 
6.70000 54.056 42.151 
6.80000 54.558 42.490 
6.90000 55.055 42.828 
7.00000 55.552 43.164 
7.10000 56.047 43.500 
7.20000 56.542 43.836 
7.30000 57.036 44.171 
7.40000 57.529 44.506 
7.50000 58.017 44.838 
7.60000 58.505 45.169 
7.70000 58.991 45.500 
7.80000 59.477 45.830 
7.90000 59.962 46.159 
8.00000 60.451 46.492 
8.10000 60.961 46.838 
8.20000 61.470 47.184 
8.30000 61.979 47.530 
8.40000 62.486 47.876 
8.50000 62.994 48.221 
8.60000 63.500 48.566 
8.70000 64.006 48.910 
8.80000 64.512 49.254 
8.90000 65.016 49.598 
9.00000 65.520 49.941 
9.10000 66.024 50.284 
9.20000 66.527 50.626 
9.30000 67.029 50.968 
9.40000 67.530 51.310 
9.50000 68.031 51.651 
9.60000 68.531 51.992 
9.70000 69.030 52.333 
9.80000 69.529 52.673 
9.90000 70.027 53.013 
10.00000 70.525 53.352 
