# t[days] FUV NUV
0.50000 28.833 26.270 
0.60000 29.273 26.492 
0.70000 29.701 26.724 
0.80000 30.128 26.966 
0.90000 30.573 27.230 
1.00000 31.047 27.520 
1.10000 31.547 27.835 
1.20000 32.073 28.170 
1.30000 32.620 28.523 
1.40000 33.186 28.892 
1.50000 33.765 29.273 
1.60000 34.356 29.663 
1.70000 34.955 30.060 
1.80000 35.589 30.481 
1.90000 36.443 31.040 
2.00000 37.310 31.609 
2.10000 38.187 32.187 
2.20000 39.073 32.772 
2.30000 39.964 33.363 
2.40000 40.860 33.958 
2.50000 41.759 34.556 
2.60000 42.659 35.157 
2.70000 43.560 35.758 
2.80000 44.461 36.361 
2.90000 45.360 36.963 
3.00000 46.256 37.564 
3.10000 47.150 38.165 
3.20000 48.041 38.764 
3.30000 48.929 39.361 
3.40000 49.814 39.957 
3.50000 50.695 40.550 
3.60000 51.572 41.142 
3.70000 52.446 41.732 
3.80000 53.316 42.319 
3.90000 54.181 42.904 
4.00000 55.043 43.487 
4.10000 55.901 44.067 
4.20000 56.755 44.645 
4.30000 57.605 45.221 
4.40000 58.452 45.795 
4.50000 59.295 46.367 
4.60000 60.135 46.937 
4.70000 60.971 47.504 
4.80000 61.804 48.070 
4.90000 62.634 48.633 
5.00000 63.461 49.195 
5.10000 64.284 49.755 
5.20000 65.105 50.313 
5.30000 65.922 50.869 
5.40000 66.737 51.424 
5.50000 67.549 51.977 
5.60000 68.359 52.528 
5.70000 69.166 53.077 
5.80000 69.970 53.625 
5.90000 70.772 54.172 
6.00000 71.571 54.717 
6.10000 72.368 55.260 
6.20000 73.163 55.802 
6.30000 73.956 56.343 
6.40000 74.746 56.883 
6.50000 75.534 57.421 
6.60000 76.320 57.957 
6.70000 77.104 58.493 
6.80000 77.886 59.027 
6.90000 78.666 59.560 
7.00000 79.445 60.092 
7.10000 80.221 60.623 
7.20000 80.995 61.152 
7.30000 81.768 61.680 
7.40000 82.538 62.207 
7.50000 83.307 62.734 
7.60000 84.075 63.259 
7.70000 84.840 63.782 
7.80000 85.604 64.305 
7.90000 86.366 64.827 
8.00000 87.127 65.348 
8.10000 87.886 65.868 
8.20000 88.644 66.387 
8.30000 89.400 66.905 
8.40000 90.154 67.422 
8.50000 90.907 67.938 
8.60000 91.659 68.453 
8.70000 92.409 68.967 
8.80000 93.158 69.480 
8.90000 93.905 69.993 
9.00000 94.651 70.505 
9.10000 95.396 71.015 
9.20000 96.140 71.525 
9.30000 96.882 72.035 
9.40000 97.623 72.543 
9.50000 98.363 73.051 
9.60000 99.101 73.557 
9.70000 99.838 74.063 
9.80000 100.575 74.569 
9.90000 101.309 75.073 
10.00000 102.043 75.577 
